id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
409811	2022-01-19	quarta-feira	07:05:00	RJ	40	50,9	PETROPOLIS	Demais falhas mecânicas ou elétricas	Incêndio	Sem Vítimas	Pleno dia	Crescente	Céu Claro	Dupla	Reta	Não	1	0	0	0	1	0	0	1	-22,31806204	-43,13158166	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
410224	2022-01-18	terça-feira	01:10:00	RJ	40	91	PETROPOLIS	Ausência de reação do condutor	Saída de leito carroçável	Com Vítimas Fatais	Plena Noite	Crescente	Céu Claro	Simples	Curva	Não	1	1	0	0	0	0	0	1	-22,54903566	-43,24229724	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
412758	2022-02-04	sexta-feira	05:30:00	RJ	40	49	PETROPOLIS	Ingestão de álcool pelo condutor	Tombamento	Sem Vítimas	Amanhecer	Crescente	Céu Claro	Dupla	Reta	Não	1	0	0	0	1	0	0	1	-22,30911378	-43,13077556	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
413988	2022-02-10	quinta-feira	07:00:00	RJ	40	59,9	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Simples	Curva	Não	2	0	1	0	0	1	1	2	-22,38628773	-43,13543464	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
416534	2022-02-22	terça-feira	18:00:00	RJ	40	82	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão com objeto	Sem Vítimas	Anoitecer	Decrescente	Nublado	Simples	Reta	Sim	3	0	0	0	2	1	0	2	-22,51183137	-43,23076171	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
417128	2022-02-25	sexta-feira	14:45:00	RJ	40	83	PETROPOLIS	Ausência de reação do condutor	Colisão traseira	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Em Obras	Não	2	0	1	0	1	0	1	2	-22,51910302	-43,22873364	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
418602	2022-03-04	sexta-feira	15:00:00	RJ	40	84	PETROPOLIS	Condutor deixou de manter distância do veículo da frente	Engavetamento	Sem Vítimas	Pleno dia	Crescente	Nublado	Dupla	Curva	Não	7	0	0	0	7	0	0	5	-22,52145512	-43,23707996	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
422355	2022-03-22	terça-feira	17:30:00	RJ	40	89	PETROPOLIS	Pedestre andava na pista	Atropelamento de Pedestre	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Curva	Não	2	0	1	0	1	0	1	2	-22,556263	-43,23718	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
423664	2022-03-31	quinta-feira	05:30:00	RJ	40	82	PETROPOLIS	Chuva	Tombamento	Com Vítimas Feridas	Amanhecer	Crescente	Chuva	Simples	Curva	Não	2	0	1	0	1	0	1	1	-22,51183137	-43,23076171	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
424323	2022-04-03	domingo	06:30:00	RJ	40	52	PETROPOLIS	Velocidade Incompatível	Colisão com objeto	Sem Vítimas	Pleno dia	Decrescente	Chuva	Dupla	Curva	Não	1	0	0	0	1	0	0	1	-22,33571319	-43,13320403	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
443467	2022-04-13	quarta-feira	13:00:00	RJ	40	82	PETROPOLIS	Pedestre andava na pista	Atropelamento de Pedestre	Com Vítimas Feridas	Pleno dia	Decrescente	Nublado	Simples	Curva	Não	2	0	0	1	1	0	1	2	-22,5177243	-43,22613113	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
444710	2022-04-19	terça-feira	07:20:00	RJ	40	92	PETROPOLIS	Problema com o freio	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Curva	Não	2	0	1	0	0	1	1	2	-22,55191954	-43,25068815	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
444755	2022-04-19	terça-feira	08:50:00	RJ	40	77	PETROPOLIS	Ausência de reação do condutor	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Curva	Não	2	0	1	0	0	1	1	2	-22,48005592	-43,23543994	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
446254	2022-03-29	terça-feira	10:00:00	RJ	40	58	PETROPOLIS	Velocidade Incompatível	Derramamento de carga	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Dupla	Curva	Não	4	0	1	0	2	2	1	5	-22,378777	-43,131523	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
446916	2022-04-30	sábado	10:00:00	RJ	40	92	PETROPOLIS	Problema com o freio	Tombamento	Sem Vítimas	Pleno dia	Crescente	Chuva	Simples	Curva	Não	2	0	0	0	1	1	0	2	-22,55191954	-43,25068815	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
448766	2022-05-09	segunda-feira	08:30:00	RJ	40	80	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Nublado	Simples	Curva	Não	2	0	1	1	0	0	2	1	-22,49798597	-43,22878703	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
450731	2022-05-19	quinta-feira	12:00:00	RJ	40	74	PETROPOLIS	Problema com o freio	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Curva	Não	2	0	2	0	0	0	2	1	-22,47224973	-43,22332717	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
453538	2022-06-02	quinta-feira	17:50:00	RJ	40	91	PETROPOLIS	Chuva	Tombamento	Sem Vítimas	Plena Noite	Crescente	Garoa/Chuvisco	Simples	Curva	Não	1	0	0	0	1	0	0	1	-22,54903566	-43,24229724	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
