id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
261591	2020-01-08	quarta-feira	16:30:00	RJ	40	63	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Dupla	Curva	Sim	1	0	1	0	0	0	1	1	-22,41319517	-43,14970765	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
268565	2020-02-11	terça-feira	09:00:00	RJ	40	90	PETROPOLIS	Defeito Mecânico no Veículo	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Simples	Curva	Não	1	0	1	0	0	0	1	1	-22,550738	-43,236397	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
269372	2020-02-15	sábado	09:10:00	RJ	40	84	PETROPOLIS	Condutor Dormindo	Colisão com objeto estático	Com Vítimas Feridas	Pleno dia	Crescente	Sol	Simples	Curva;Túnel;Declive	Não	2	0	1	0	0	1	1	2	-22,53665902	-43,23326111	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
271316	2020-02-23	domingo	20:45:00	RJ	40	82	PETROPOLIS	Defeito Mecânico no Veículo	Tombamento	Com Vítimas Feridas	Plena Noite	Crescente	Nublado	Simples	Curva	Não	2	0	1	0	0	1	1	2	-22,51183137	-43,23076171	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
272204	2020-02-28	sexta-feira	11:00:00	RJ	40	86	PETROPOLIS	Falta de Atenção à Condução	Colisão lateral	Sem Vítimas	Pleno dia	Decrescente	Nublado	Dupla	Curva	Não	3	0	0	0	2	1	0	3	-22,53575484	-43,23295774	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
276103	2020-03-18	quarta-feira	07:00:00	RJ	40	87	PETROPOLIS	Falta de Atenção à Condução	Tombamento	Sem Vítimas	Pleno dia	Crescente	Céu Claro	Simples	Declive;Curva	Não	1	0	0	0	1	0	0	1	-22,54413793	-43,23287799	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
276937	2020-03-23	segunda-feira	07:00:00	RJ	40	73	PETROPOLIS	Defeito Mecânico no Veículo	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	2	0	1	1	0	0	2	1	-22,45926798	-43,21754521	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
283370	2020-05-08	sexta-feira	08:40:00	RJ	495	30	PETROPOLIS	Falta de Atenção à Condução	Colisão traseira	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Múltipla	Rotatória	Sim	2	0	1	0	1	0	1	2	-22,385458	-43,129604	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
284215	2020-04-08	quarta-feira	16:00:00	RJ	495	20	PETROPOLIS	Defeito Mecânico no Veículo	Colisão com objeto estático	Com Vítimas Feridas	Anoitecer	Crescente	Nublado	Simples	Curva	Sim	1	0	1	0	0	0	1	1	-22,419998	-43,076351	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
291578	2020-06-23	terça-feira	14:30:00	RJ	40	90	PETROPOLIS	Velocidade Incompatível	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Reta	Não	2	0	1	0	1	0	1	2	-22,550738	-43,236397	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
