id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
543558	2023-08-20	domingo	14:15:00	RJ	40	78	PETROPOLIS	Ausência de reação do condutor	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Simples	Curva	Não	2	0	2	0	0	0	2	1	-22,48485874	-43,22843406	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
543656	2023-08-20	domingo	18:40:00	RJ	40	60	PETROPOLIS	Ausência de reação do condutor	Colisão com objeto	Com Vítimas Feridas	Plena Noite	Crescente	Garoa/Chuvisco	Dupla	Reta	Não	1	0	1	0	0	0	1	1	-22,39450315	-43,13468983	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
543710	2023-08-21	segunda-feira	14:16:00	RJ	40	45,5	PETROPOLIS	Acessar a via sem observar a presença dos outros veículos	Colisão lateral mesmo sentido	Com Vítimas Feridas	Pleno dia	Decrescente	Sol	Dupla	Reta	Sim	2	0	1	0	1	0	1	2	-22,28769668	-43,12220693	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
544686	2023-08-26	sábado	13:00:00	RJ	40	76	PETROPOLIS	Chuva	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Simples	Curva;Aclive	Não	2	0	1	0	1	0	1	1	-22,47192899	-43,23779321	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
545271	2023-08-29	terça-feira	08:20:00	RJ	40	52	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Dupla	Curva;Declive	Não	1	0	1	0	0	0	1	1	-22,33571319	-43,13320403	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
545450	2023-08-30	quarta-feira	08:10:00	RJ	40	78	PETROPOLIS	Ausência de reação do condutor	Capotamento	Com Vítimas Feridas	Pleno dia	Crescente	Garoa/Chuvisco	Simples	Curva;Declive	Não	2	0	1	0	1	0	1	1	-22,48485874	-43,22843406	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
545603	2023-08-31	quinta-feira	01:20:00	RJ	40	55	PETROPOLIS	Ausência de reação do condutor	Colisão com objeto	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Dupla	Reta	Não	1	0	1	0	0	0	1	1	-22,35382783	-43,12184226	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
546867	2023-09-06	quarta-feira	06:30:00	RJ	40	87	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Dupla	Curva	Não	3	0	1	0	2	0	1	1	-22,54413793	-43,23287799	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
547134	2023-09-07	quinta-feira	07:30:00	RJ	40	79	PETROPOLIS	Chuva	Capotamento	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Simples	Curva	Sim	1	0	1	0	0	0	1	1	-22,49130098	-43,22294163	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
547141	2023-08-26	sábado	09:30:00	RJ	40	60	PETROPOLIS	Chuva	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Simples	Reta;Aclive	Sim	1	0	1	0	0	0	1	1	-22,39450315	-43,13468983	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
548180	2023-09-12	terça-feira	07:45:00	RJ	40	75	PETROPOLIS	Ausência de reação do condutor	Tombamento	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Curva;Aclive	Não	1	0	1	0	0	0	1	1	-22,47389767	-43,23643684	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
548605	2023-09-14	quinta-feira	12:35:00	RJ	40	86	PETROPOLIS	Pista Escorregadia	Queda de ocupante de veículo	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Curva;Aclive	Não	1	0	1	0	0	0	1	1	-22,56041412	-43,22597623	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
548914	2023-09-15	sexta-feira	23:10:00	RJ	40	72	PETROPOLIS	Demais falhas mecânicas ou elétricas	Colisão frontal	Sem Vítimas	Plena Noite	Crescente	Garoa/Chuvisco	Simples	Aclive	Não	2	0	0	0	2	0	0	2	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
550150	2023-09-21	quinta-feira	22:00:00	RJ	40	74	PETROPOLIS	Ausência de reação do condutor	Colisão traseira	Sem Vítimas	Plena Noite	Decrescente	Céu Claro	Dupla	Aclive;Curva	Não	4	0	0	0	4	0	0	2	-22,47224973	-43,22332717	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
551670	2023-09-29	sexta-feira	12:10:00	RJ	40	93,1	PETROPOLIS	Curva acentuada	Saída de leito carroçável	Sem Vítimas	Pleno dia	Decrescente	Nublado	Simples	Aclive;Curva	Não	1	0	0	0	1	0	0	1	-22,55314748	-43,25111389	SPRF-RJ	DEL01-RJ	UOP01-DEL01-RJ
552427	2023-10-02	segunda-feira	09:15:00	RJ	40	91	PETROPOLIS	Pista Escorregadia	Queda de ocupante de veículo	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Simples	Curva	Não	2	0	1	0	1	0	1	1	-22,54903566	-43,24229724	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
552561	2023-10-03	terça-feira	07:40:00	RJ	40	73	PETROPOLIS	Acessar a via sem observar a presença dos outros veículos	Colisão transversal	Com Vítimas Feridas	Pleno dia	Crescente	Nublado	Simples	Interseção de Vias;Aclive;Curva	Não	3	0	2	0	1	0	2	2	-22,46352401	-43,22321103	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
552967	2023-10-05	quinta-feira	10:10:00	RJ	40	72,8	PETROPOLIS	Chuva	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Dupla	Reta	Não	3	0	1	0	2	0	1	1	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
552970	2023-10-05	quinta-feira	11:30:00	RJ	40	72	PETROPOLIS	Chuva	Colisão com objeto	Com Vítimas Feridas	Pleno dia	Crescente	Garoa/Chuvisco	Dupla	Curva	Não	2	0	1	0	1	0	1	1	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
