id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
332159	2021-01-02	sábado	22:45:00	RJ	40	78	PETROPOLIS	Reação tardia ou ineficiente do condutor	Saída de leito carroçável	Com Vítimas Feridas	Plena Noite	Crescente	Chuva	Simples	Curva	Não	3	0	1	0	2	0	1	1	-22,48485874	-43,22843406	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
335416	2021-01-19	terça-feira	16:00:00	RJ	40	58	PETROPOLIS	Velocidade Incompatível	Colisão traseira	Sem Vítimas	Pleno dia	Crescente	Céu Claro	Simples	Reta	Não	3	0	0	0	2	2	0	4	-22,378777	-43,131523	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
336672	2021-01-26	terça-feira	03:30:00	RJ	40	77	PETROPOLIS	Condutor Dormindo	Saída de leito carroçável	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Simples	Reta	Não	1	0	1	0	0	0	1	1	-22,48005592	-43,23543994	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
336925	2021-01-27	quarta-feira	14:50:00	RJ	40	61	PETROPOLIS	Condutor deixou de manter distância do veículo da frente	Colisão traseira	Sem Vítimas	Pleno dia	Decrescente	Céu Claro	Dupla	Curva	Não	2	0	0	0	2	0	0	2	-22,40240833	-43,13786279	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
337426	2021-01-30	sábado	03:00:00	RJ	40	72	PETROPOLIS	Condutor Dormindo	Tombamento	Sem Vítimas	Plena Noite	Crescente	Céu Claro	Simples	Curva	Não	1	0	0	0	1	0	0	1	-22,4585308	-43,21600514	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
341649	2021-02-19	sexta-feira	14:30:00	RJ	40	57	PETROPOLIS	Ausência de reação do condutor	Colisão lateral	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Viaduto	Não	2	0	1	0	1	0	1	2	-22,37036795	-43,12819612	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
344397	2021-03-05	sexta-feira	09:20:00	RJ	40	89	PETROPOLIS	Velocidade Incompatível	Tombamento	Com Vítimas Fatais	Pleno dia	Crescente	Céu Claro	Dupla	Curva	Não	2	2	0	0	0	0	0	1	-22,556263	-43,23718	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
348701	2021-03-28	domingo	19:20:00	RJ	40	61	PETROPOLIS	Condutor deixou de manter distância do veículo da frente	Colisão traseira	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Dupla	Reta	Não	3	0	1	0	1	1	1	3	-22,40503311	-43,14331239	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
349371	2021-04-01	quinta-feira	14:40:00	RJ	40	71	PETROPOLIS	Demais falhas mecânicas ou elétricas	Tombamento	Sem Vítimas	Pleno dia	Decrescente	Céu Claro	Dupla	Curva	Não	2	0	0	0	1	1	0	2	-22,45304974	-43,20832411	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
349982	2021-04-04	domingo	21:00:00	RJ	40	87	PETROPOLIS	Ingestão de álcool pelo condutor	Colisão lateral mesmo sentido	Sem Vítimas	Plena Noite	Crescente	Nublado	Simples	Curva	Não	3	0	0	0	3	0	0	2	-22,54413793	-43,23287799	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
