id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
637583,2024-10-26,sábado,16:00:00,RJ,40,99,PETROPOLIS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Reta,Sim,2,0,1,0,1,0,1,1,-22.58585204,-43.27716391,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
637655,2024-10-26,sábado,23:00:00,RJ,40,84,PETROPOLIS,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Curva;Declive,Não,2,0,2,0,0,0,2,1,-22.52145512,-43.23707996,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
637773,2024-10-27,domingo,12:10:00,RJ,40,74,PETROPOLIS,Chuva,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva,Não,4,0,1,0,3,0,1,2,-22.47224973,-43.22332717,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
638367,2024-10-30,quarta-feira,09:10:00,RJ,40,64,PETROPOLIS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Retorno Regulamentado,Sim,3,0,1,0,2,0,1,2,-22.427473,-43.16011,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
638384,2024-10-30,quarta-feira,10:00:00,RJ,40,85,PETROPOLIS,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Curva;Aclive,Não,1,0,1,0,0,0,1,1,-22.52850694,-43.2349802,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
638609,2024-10-31,quinta-feira,15:25:00,RJ,40,74,PETROPOLIS,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Curva,Não,1,0,0,1,0,0,1,1,-22.47224973,-43.22332717,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
639115,2024-11-02,sábado,09:45:00,RJ,40,98,PETROPOLIS,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,3,0,0,0,3,0,0,2,-22.57773682,-43.27329036,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
639379,2024-11-03,domingo,19:30:00,RJ,40,51.3,PETROPOLIS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Não,2,0,1,0,1,0,1,1,-22.32705315,-43.13253559,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
639641,2024-11-04,segunda-feira,22:35:00,RJ,40,40,PETROPOLIS,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Curva,Não,1,0,1,0,0,0,1,1,-22.23901593,-43.10807783,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
639650,2024-11-04,segunda-feira,23:10:00,RJ,40,78,PETROPOLIS,Chuva,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva,Não,4,0,2,0,2,0,2,1,-22.48485874,-43.22843406,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
639949,2024-11-06,quarta-feira,11:40:00,RJ,40,93,PETROPOLIS,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,-22.5554282,-43.25829998,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
640471,2024-11-08,sexta-feira,15:22:00,RJ,40,68,PETROPOLIS,Velocidade Incompatível,Colisão com objeto,Com Vítimas Fatais,Pleno dia,Decrescente,Chuva,Dupla,Curva;Declive,Não,3,2,0,1,0,0,1,1,-22.4381808,-43.18488009,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
640689,2024-11-09,sábado,16:30:00,RJ,40,92,PETROPOLIS,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva;Declive,Não,2,0,1,0,0,1,1,2,-22.55191954,-43.25068815,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
640723,2024-11-09,sábado,12:30:00,RJ,40,90,PETROPOLIS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva;Declive,Não,4,0,3,0,1,0,3,1,-22.550738,-43.236397,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
640794,2024-11-10,domingo,04:15:00,RJ,40,62,PETROPOLIS,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Dupla,Curva,Não,2,0,1,1,0,0,2,1,-22.40927293,-43.14990878,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
640918,2024-11-10,domingo,17:50:00,RJ,40,85,PETROPOLIS,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Garoa/Chuvisco,Dupla,Curva,Não,2,0,1,0,1,0,1,1,-22.52850694,-43.2349802,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
641145,2024-09-13,sexta-feira,04:25:00,RJ,40,81,PETROPOLIS,Transitar na contramão,Colisão lateral sentido oposto,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Declive;Curva,Sim,2,0,0,0,2,0,0,2,-22.50560003,-43.23186384,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
641170,2024-10-02,quarta-feira,21:40:00,RJ,495,30.4,PETROPOLIS,Pedestre andava na pista,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Ignorado,Simples,Curva,Sim,2,1,0,1,0,0,1,2,-22.39619,-43.118194,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
641682,2024-11-14,quinta-feira,06:00:00,RJ,40,91,PETROPOLIS,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva;Aclive,Não,2,0,1,0,1,0,1,1,-22.54903566,-43.24229724,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
641899,2024-11-15,sexta-feira,00:30:00,RJ,40,62.2,PETROPOLIS,Ausência de sinalização,Colisão frontal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Curva,Não,4,0,1,0,3,0,1,2,-22.40542358,-43.14664526,SPRF-RJ,DEL05-RJ,UOP02-DEL05-RJ
641964,2024-11-15,sexta-feira,08:45:00,RJ,40,78,PETROPOLIS,Acumulo de óleo sobre o pavimento,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva;Declive,Não,1,0,1,0,0,0,1,1,-22.48485874,-43.22843406,SPRF-RJ,DEL01-RJ,UOP01-DEL01-RJ
